Date,Location,Price,CC.Loyalty
1/6/2014,Brew've Been Served,4.17,Loyalty
1/6/2014,Brew've Been Served,9.6,Loyalty
1/6/2014,Hallowed Grounds,16.53,Loyalty
1/6/2014,Coffee Shack,11.51,Loyalty
1/6/2014,Hallowed Grounds,12.93,Loyalty
1/6/2014,Brew've Been Served,4.27,Loyalty
1/6/2014,Brew've Been Served,11.2,Loyalty
1/6/2014,Brew've Been Served,15.39,Loyalty
1/6/2014,Abila Zacharo,26.93,Loyalty
1/6/2014,Hippokampos,34.03,Loyalty
1/6/2014,Kalami Kafenion,8.64,Loyalty
1/6/2014,Katerina Cafe,33.54,Loyalty
1/6/2014,Hippokampos,36.54,Loyalty
1/6/2014,Ouzeri Elian,20.74,Loyalty
1/6/2014,Kalami Kafenion,13.08,Loyalty
1/6/2014,Hippokampos,38.25,Loyalty
1/6/2014,Hippokampos,30.88,Loyalty
1/6/2014,Kalami Kafenion,27.4,Loyalty
1/6/2014,Katerina Cafe,38.65,Loyalty
1/6/2014,Katerina Cafe,26.46,Loyalty
1/6/2014,Frydos Autosupply n' More,80.85,Loyalty
1/6/2014,Frydos Autosupply n' More,175.87,Loyalty
1/6/2014,Katerina Cafe,28,Loyalty
1/6/2014,Hippokampos,24.41,Loyalty
1/6/2014,Frydos Autosupply n' More,89.3,Loyalty
1/6/2014,Katerina Cafe,26.51,Loyalty
1/7/2014,Brew've Been Served,12.74,Loyalty
1/7/2014,Hallowed Grounds,8.91,Loyalty
1/7/2014,Coffee Shack,16.63,Loyalty
1/7/2014,Brew've Been Served,4.39,Loyalty
1/7/2014,Brew've Been Served,11.91,Loyalty
1/7/2014,Hallowed Grounds,8.42,Loyalty
1/7/2014,Coffee Cameleon,12.44,Loyalty
1/7/2014,Brew've Been Served,17.4,Loyalty
1/7/2014,Hallowed Grounds,10.33,Loyalty
1/7/2014,Brew've Been Served,15.66,Loyalty
1/7/2014,Kalami Kafenion,11.64,Loyalty
1/7/2014,Ouzeri Elian,28.37,Loyalty
1/7/2014,Ouzeri Elian,17.71,Loyalty
1/7/2014,Abila Zacharo,32.4,Loyalty
1/7/2014,Gelatogalore,36.5,Loyalty
1/7/2014,Ouzeri Elian,21.85,Loyalty
1/7/2014,Katerina Cafe,37.44,Loyalty
1/7/2014,Gelatogalore,15.4,Loyalty
1/7/2014,Hippokampos,37.57,Loyalty
1/7/2014,Albert's Fine Clothing,78.91,Loyalty
1/7/2014,Katerina Cafe,31.6,Loyalty
1/7/2014,Katerina Cafe,25.02,Loyalty
1/7/2014,Guy's Gyros,23.12,Loyalty
1/7/2014,Katerina Cafe,25.54,Loyalty
1/7/2014,Ouzeri Elian,20.53,Loyalty
1/8/2014,Hallowed Grounds,5.85,Loyalty
1/8/2014,Brew've Been Served,3.09,Loyalty
1/8/2014,Hallowed Grounds,3.9,Loyalty
1/8/2014,Coffee Shack,13.13,Loyalty
1/8/2014,Brew've Been Served,14.88,Loyalty
1/8/2014,Brew've Been Served,8.4,Loyalty
1/8/2014,Brew've Been Served,3.92,Loyalty
1/8/2014,Hallowed Grounds,11.63,Loyalty
1/8/2014,Brew've Been Served,11.48,Loyalty
1/8/2014,Coffee Cameleon,16.17,Loyalty
1/8/2014,Abila Zacharo,22.13,Loyalty
1/8/2014,Gelatogalore,32.79,Loyalty
1/8/2014,Kalami Kafenion,18.18,Loyalty
1/8/2014,Kalami Kafenion,22.49,Loyalty
1/8/2014,Ouzeri Elian,24.92,Loyalty
1/8/2014,Abila Zacharo,28.25,Loyalty
1/8/2014,Gelatogalore,22.27,Loyalty
1/8/2014,Kalami Kafenion,34.98,Loyalty
1/8/2014,Gelatogalore,39.94,Loyalty
1/8/2014,Kalami Kafenion,31.43,Loyalty
1/8/2014,Katerina Cafe,34.25,Loyalty
1/8/2014,Katerina Cafe,13.83,Loyalty
1/8/2014,Frydos Autosupply n' More,214.07,Loyalty
1/8/2014,Frydos Autosupply n' More,268.89,Loyalty
1/8/2014,Hippokampos,16.75,Loyalty
1/8/2014,Katerina Cafe,16.93,Loyalty
1/9/2014,Hallowed Grounds,15.24,Loyalty
1/9/2014,Coffee Shack,5.01,Loyalty
1/9/2014,Brew've Been Served,18.25,Loyalty
1/9/2014,Hallowed Grounds,16.72,Loyalty
1/9/2014,Coffee Cameleon,4.88,Loyalty
1/9/2014,Hallowed Grounds,15.33,Loyalty
1/9/2014,Gelatogalore,19.2,Loyalty
1/9/2014,Hippokampos,27.47,Loyalty
1/9/2014,Gelatogalore,23.23,Loyalty
1/9/2014,Hippokampos,19.22,Loyalty
1/9/2014,Gelatogalore,24.68,Loyalty
1/9/2014,Kalami Kafenion,19.84,Loyalty
1/9/2014,Kalami Kafenion,10.94,Loyalty
1/9/2014,Kalami Kafenion,35.99,Loyalty
1/9/2014,Guy's Gyros,27.69,Loyalty
1/9/2014,Gelatogalore,36.75,Loyalty
1/9/2014,Katerina Cafe,35.92,Loyalty
1/9/2014,Katerina Cafe,26.6,Loyalty
1/9/2014,Katerina Cafe,30.97,Loyalty
1/9/2014,Katerina Cafe,29.82,Loyalty
1/9/2014,Albert's Fine Clothing,224.52,Loyalty
1/9/2014,Katerina Cafe,13.78,Loyalty
1/9/2014,Guy's Gyros,8.23,Loyalty
1/9/2014,Shoppers' Delight,258.43,Loyalty
1/10/2014,Hallowed Grounds,16.75,Loyalty
1/10/2014,Brew've Been Served,4.88,Loyalty
