Date,Location,Price,CC.Loyalty,CC.Loyalty.Type,CreditCardTimestamp
1/6/2014,Brew've Been Served,4.17,L2247,Loyalty,NA
1/6/2014,Brew've Been Served,9.6,L9406,Loyalty,NA
1/6/2014,Hallowed Grounds,16.53,L8328,Loyalty,NA
1/6/2014,Coffee Shack,11.51,L6417,Loyalty,NA
1/6/2014,Hallowed Grounds,12.93,L1107,Loyalty,NA
1/6/2014,Brew've Been Served,4.27,L4034,Loyalty,NA
1/6/2014,Brew've Been Served,11.2,L6110,Loyalty,NA
1/6/2014,Brew've Been Served,15.39,L2343,Loyalty,NA
1/6/2014,Abila Zacharo,26.93,L9018,Loyalty,NA
1/6/2014,Hippokampos,34.03,L6267,Loyalty,NA
1/6/2014,Kalami Kafenion,8.64,L4034,Loyalty,NA
1/6/2014,Katerina Cafe,33.54,L6110,Loyalty,NA
1/6/2014,Hippokampos,36.54,L1107,Loyalty,NA
1/6/2014,Ouzeri Elian,20.74,L2247,Loyalty,NA
1/6/2014,Kalami Kafenion,13.08,L6417,Loyalty,NA
1/6/2014,Hippokampos,38.25,L2343,Loyalty,NA
1/6/2014,Hippokampos,30.88,L9406,Loyalty,NA
1/6/2014,Kalami Kafenion,27.4,L8328,Loyalty,NA
1/6/2014,Katerina Cafe,38.65,L6110,Loyalty,NA
1/6/2014,Katerina Cafe,26.46,L8328,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,80.85,L2343,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,175.87,L2247,Loyalty,NA
1/6/2014,Katerina Cafe,28,L6267,Loyalty,NA
1/6/2014,Hippokampos,24.41,L6417,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,89.3,L4034,Loyalty,NA
1/6/2014,Katerina Cafe,26.51,L9406,Loyalty,NA
1/7/2014,Brew've Been Served,12.74,L2247,Loyalty,NA
1/7/2014,Hallowed Grounds,8.91,L8328,Loyalty,NA
1/7/2014,Coffee Shack,16.63,L6417,Loyalty,NA
1/7/2014,Brew've Been Served,4.39,L4034,Loyalty,NA
1/7/2014,Brew've Been Served,11.91,L9406,Loyalty,NA
1/7/2014,Hallowed Grounds,8.42,L1107,Loyalty,NA
1/7/2014,Coffee Cameleon,12.44,L9018,Loyalty,NA
1/7/2014,Brew've Been Served,17.4,L2343,Loyalty,NA
1/7/2014,Hallowed Grounds,10.33,L6267,Loyalty,NA
